slug,source
motorola-razr-plus-2025-mocha-mousse,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Motorola-razr-Plus-2025-PANTONE-Mocha-Mousse-thumbnail.png
motorola-razr-plus-2026-mountain-view,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Motorola-razr-Plus-2026-PANTONE-Mountain-View-thumbnail.png
motorola-razr-swarovski-ice-melt,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Motorola-razr-Swarovski-PANTONE-Ice-Melt-thumbnail.png
motorola-razr-ultra-2025-cabaret,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Motorola-razr-ultra-2025-PANTONE-Cabaret-thumbnail.png
motorola-moto-pad-2026-bronze-green,Products\www.t-mobile.com_cf64d207-0faa-4ced-a5b3-8a30a4466f17\Motorola-moto-pad-2026-PANTONE-Bronze-Green-thumbnail.png
tmobile-revvl-8-icy-silver,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\T-Mobile-Revvl-8-Icy-Silver-thumbnail.png
tmobile-revvl-8-pro-graphite,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\T-Mobile-Revvl-8-Pro-Graphite-Gray-thumbnail.png
tmobile-revvl-tab-2-black,Products\www.t-mobile.com_cf64d207-0faa-4ced-a5b3-8a30a4466f17\T-Mobile-Revvl-Tab-2-Black-thumbnail.png
tcl-nxtpaper-70-pro-stellar-blue,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\TCL-NXTPAPER-70-Pro-Stellar-Blue-thumbnail.png
tcl-flip-4-5g-stone-gray,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\TCL-FLIP-4-5G-Stone-Gray-thumbnail.png
sonim-xp3-plus-5g-black,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Sonim-XP3plus-5G-Black-thumbnail.png
sonim-xp3-plus-5g-non-camera-black,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Sonim-XP3plus-5G-Non-Camera-Version-Black-thumbnail.png
sonim-xp-pro-black,Products\www.t-mobile.com_02f32a6d-2f50-46bf-8d25-8813aa980bba\Sonim-XP-Pro-Black-thumbnail.png
xiaomi-redmi-note-15-pro,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\xiaomi-redmi-note-15-pro-fb.png
xiaomi-redmi-note-15-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\xiaomi-redmi-note-15-128gb-dual-sim-euv09-1.png
xiaomi-redmi-15-gold,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\xiaomi-redmi-15-gold-fb.png
xiaomi-redmi-15c-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\xiaomi-redmi-15c-128gb-dual-sim-fb.png
